Station,Date,Year,Month,Day,P,VWind,O3,DWind,PLiquid,PM2.5,PM10,RGlobal,SO2 TR,HAir10,TAir10
HOSPITAL DEL NORTE,2023-09-17,2023,9,17,694.5588182,1.96545455,30.21818182,174.7765909,0,10.85909091,19.78636364,186.6046818,3.53636364,74.60095455,25.47113636
HOSPITAL DEL NORTE,2023-09-16,2023,9,16,694.4154167,2.19179167,34.12083333,210.6082083,0,10.15416667,18.07916667,194.9333333,3.46666667,74.959375,25.74770833
HOSPITAL DEL NORTE,2023-09-15,2023,9,15,694.413375,1.6655,31.57272727,201.4030417,0.00833333,10.22083333,19.82173913,138.8392083,4.03333333,79.90620833,25.28104167
HOSPITAL DEL NORTE,2023-09-14,2023,9,14,694.3757917,1.659875,24.31666667,199.8557917,0.216625,9.8375,19.5125,152.0194583,5.44545455,82.34133333,24.53579167
HOSPITAL DEL NORTE,2023-09-13,2023,9,13,696.2102222,1.65591667,28.5125,214.691875,0.00833333,8.88333333,18.20416667,180.8470833,3.35,75.68608333,25.5015
HOSPITAL DEL NORTE,2023-09-12,2023,9,12,698.789,1.66133333,24.40416667,221.1425833,0,8.9375,17.9125,0,3.94583333,75.44854167,24.97008333
HOSPITAL DEL NORTE,2023-09-11,2023,9,11,696.624625,1.87658333,22.84583333,217.227375,0.52495833,7.35416667,15.09166667,,2.05,76.90229167,24.57175
HOSPITAL DEL NORTE,2023-09-10,2023,9,10,695.3431304,1.5146087,22.76956522,188.0145652,0.29565217,7.24782609,13.05652174,,3.51304348,85.10834783,23.90704348
HOSPITAL DEL NORTE,2023-09-09,2023,9,9,693.9745,2.206125,27.9625,131.7975833,0.275,11.72916667,22.74583333,,3.46666667,74.78129167,25.14445833
HOSPITAL DEL NORTE,2023-09-08,2023,9,8,693.9933333,2.154875,33.42083333,178.8272917,0,11.69166667,23.9625,,4.03333333,68.22116667,25.54154167
HOSPITAL DEL NORTE,2023-09-07,2023,9,7,693.9723333,2.10054167,37.675,208.6815,0.03333333,12.16666667,23.77916667,,5.44545455,71.105875,26.264375
HOSPITAL DEL NORTE,2023-09-06,2023,9,6,694.4102083,2.24920833,42.65,221.9405,0,9.89583333,19.09583333,,3.35,67.43270833,27.01333333
HOSPITAL DEL NORTE,2023-09-05,2023,9,5,695.0141667,2.13483333,29.9875,233.575625,0,11.9875,24.93333333,,3.94583333,76.35491667,25.74183333
HOSPITAL DEL NORTE,2023-09-04,2023,9,4,695.285125,1.88583333,27.64166667,224.91075,0,12.6625,22.55416667,,2.05,78.43195833,24.79329167
HOSPITAL DEL NORTE,2023-09-03,2023,9,3,694.877087,2.14047826,35.50434783,135.657913,0,10.83043478,18.23913043,,3.61304348,73.50421739,25.17804348
HOSPITAL DEL NORTE,2023-09-02,2023,9,2,694.3944167,2.16741667,37.68333333,217.91025,0,14.47916667,26.0875,,3.25,72.79020833,25.604
HOSPITAL DEL NORTE,2023-09-01,2023,9,1,694.4405,1.91308333,38.69583333,214.749875,0,14.91666667,27.01666667,,2.4875,68.42416667,26.865375
HOSPITAL DEL NORTE,2023-08-31,2023,8,31,694.1296667,1.80791667,34.84166667,194.7888333,0,14.7625,28.325,,2.6625,65.75333333,26.838875
HOSPITAL DEL NORTE,2023-08-30,2023,8,30,694.467125,2.203,36.64166667,178.9181667,0,12.575,23.69166667,,1.75416667,69.37766667,26.571125
HOSPITAL DEL NORTE,2023-08-29,2023,8,29,695.7077917,2.05579167,43.67083333,206.8360417,0,12.7125,24.82916667,,0.98333333,71.39208333,25.78333333
HOSPITAL DEL NORTE,2023-08-28,2023,8,28,695.1747917,2.27595833,40.14166667,227.5119583,0,10.9375,20.5375,,4.51,68.45329167,25.98383333
HOSPITAL DEL NORTE,2023-08-27,2023,8,27,694.2711739,2.46121739,38.90434783,206.486,0,9.75652174,17.73043478,,4.04782609,64.90769565,26.29091304
HOSPITAL DEL NORTE,2023-08-26,2023,8,26,694.3900417,2.30716667,30.20833333,185.5595,0,9.40833333,18.375,,1.68333333,68.736125,25.80979167
HOSPITAL DEL NORTE,2023-08-25,2023,8,25,695.3175,1.80225,19.74166667,199.450625,0.10833333,8.625,20.19166667,,3.2375,78.66870833,24.68170833
HOSPITAL DEL NORTE,2023-08-24,2023,8,24,695.2985,1.95891667,22.05,185.0093333,0.01666667,7.40416667,16.33333333,,3.715,79.12479167,24.92695833
HOSPITAL DEL NORTE,2023-08-23,2023,8,23,694.3784167,2.00966667,24.09583333,198.0405833,0.05833333,5.14166667,15.2875,,2.72916667,79.06566667,24.2735
HOSPITAL DEL NORTE,2023-08-22,2023,8,22,693.5854167,1.64979167,21.5375,189.4894167,3.166625,6.05833333,17.55416667,,2.125,88.511625,22.82879167
HOSPITAL DEL NORTE,2023-08-21,2023,8,21,692.7074583,2.10229167,26.39583333,167.7295833,0.43329167,6.48333333,13.73333333,,2.9,80.64533333,24.89720833
HOSPITAL DEL NORTE,2023-08-20,2023,8,20,692.9131739,1.80243478,25.51304348,210.703,0.1826087,8.9,15.9826087,,3.75217391,83.25982609,25.48926087
HOSPITAL DEL NORTE,2023-08-19,2023,8,19,693.092,2.26808333,29.17083333,176.4402917,0,12.35,22.47083333,,4.57083333,74.94408333,25.73625
HOSPITAL DEL NORTE,2023-08-18,2023,8,18,694.09875,1.947375,22.14166667,213.775375,0,6.29583333,15.15833333,,1.33333333,76.224875,25.51279167
HOSPITAL DEL NORTE,2023-08-17,2023,8,17,694.4711667,1.98604167,25.30416667,166.3287917,0.01666667,9.33333333,20.9875,,2.93333333,76.53791667,24.75925
HOSPITAL DEL NORTE,2023-08-16,2023,8,16,694.642,1.90625,20.6125,147.217125,0.06666667,9.08333333,20.77916667,,3.87916667,82.51741667,25.74008333
HOSPITAL DEL NORTE,2023-08-15,2023,8,15,694.429625,1.84895833,21,183.431,0,13.55416667,24.8625,,3.875,77.91695833,26.38470833
HOSPITAL DEL NORTE,2023-08-14,2023,8,14,694.57375,1.70716667,27.175,192.9794583,0,13.51666667,23.5,,2.5875,76.19358333,24.87420833
HOSPITAL DEL NORTE,2023-08-13,2023,8,13,694.263913,1.78713043,26.9173913,245.4185652,0.04347826,9.88695652,18.41304348,,2.65217391,73.73673913,25.46217391
HOSPITAL DEL NORTE,2023-08-12,2023,8,12,694.5408333,2.10708333,32.38333333,198.1368333,0,8.32083333,15.8875,,2.075,72.428875,25.73625
HOSPITAL DEL NORTE,2023-08-11,2023,8,11,694.7390417,1.98025,29.39166667,229.9766667,0,9.42916667,19.31666667,,1.975,75.60633333,25.51279167
HOSPITAL DEL NORTE,2023-08-10,2023,8,10,695.4246667,1.65591667,14.62631579,197.6277917,0.01666667,10.62083333,22.89166667,,2.79047619,76.06745833,24.75925
HOSPITAL DEL NORTE,2023-08-09,2023,8,9,695.722,2.03741667,19.31666667,153.1393333,0.025,10.98333333,22.15416667,,2.34166667,73.852375,25.74008333
HOSPITAL DEL NORTE,2023-08-08,2023,8,8,695.9732917,2.0435,20.07083333,233.3424583,0.00833333,10.91666667,20.47916667,,1.9125,76.71845833,26.38470833
HOSPITAL DEL NORTE,2023-08-07,2023,8,7,696.1470833,1.342625,21.20833333,177.9392083,0.05833333,8.60416667,15.66666667,,3.23333333,80.826875,24.87420833
HOSPITAL DEL NORTE,2023-08-06,2023,8,6,694.808087,1.80834783,25.8173913,233.8565652,0.05217391,12.49130435,21.36521739,,3.03913043,72.74904348,26.53156522
HOSPITAL DEL NORTE,2023-08-05,2023,8,5,694.7207917,1.8755,25.81666667,246.8025417,0.00833333,14.70416667,26.8,,3.7875,71.18325,26.60225
HOSPITAL DEL NORTE,2023-08-04,2023,8,4,695.1466667,1.52383333,23.5,165.2492083,0.09995833,13.24583333,27,,2.5,74.95629167,25.75104167
HOSPITAL DEL NORTE,2023-08-03,2023,8,3,695.9035,1.96720833,29.77916667,240.0550833,0,10.10416667,18.72916667,,1.65,77.235125,25.23925
HOSPITAL DEL NORTE,2023-08-02,2023,8,2,696.4425,1.93979167,22.84583333,226.5357083,0,13,23.85416667,,3.37916667,75.664125,25.702625
HOSPITAL DEL NORTE,2023-08-01,2023,8,1,696.48525,1.755625,15.05833333,186.19725,0.01666667,8.85,18.775,,3.16666667,77.32745833,25.20179167
HOSPITAL DEL NORTE,2023-07-31,2023,7,31,695.864375,1.79833333,14.125,159.82675,0.09995833,5.5375,14.59583333,,1.175,83.28341667,24.092625
HOSPITAL DEL NORTE,2023-07-30,2023,7,30,694.8972609,2.17821739,25.82608696,203.5645652,0,8.12608696,14.96956522,,2.60434783,73.31582609,26.607
HOSPITAL DEL NORTE,2023-07-29,2023,7,29,695.0200417,1.72820833,20.7125,223.0275833,0,10.95,22.06666667,,2.9625,76.11233333,26.20725
HOSPITAL DEL NORTE,2023-07-28,2023,7,28,695.4142083,1.54604167,14.71666667,206.6997083,0.13333333,9.39166667,19.62083333,,4.19166667,79.30120833,24.72304167
HOSPITAL DEL NORTE,2023-07-27,2023,7,27,695.0070417,1.745375,17.92083333,163.2175833,0.49166667,6.05833333,14.52916667,,4.005,79.00758333,24.862625
HOSPITAL DEL NORTE,2023-07-26,2023,7,26,694.9133333,2.02941667,19.8,156.1795417,0.03333333,8.525,16.76666667,,3.86666667,81.98508333,24.92295833
HOSPITAL DEL NORTE,2023-07-25,2023,7,25,694.9601667,1.977625,19.55,208.3724583,0.15,13.24583333,22.97083333,,2.92916667,77.604125,25.79479167
HOSPITAL DEL NORTE,2023-07-24,2023,7,24,695.4765417,2.01779167,24.45416667,225.8499167,0.09166667,10.25833333,20.84583333,,3.68333333,73.88920833,26.473125
HOSPITAL DEL NORTE,2023-07-23,2023,7,23,695.6573044,1.7236087,23.94782609,234.3881739,0.1826087,8.74782609,18.20869565,,2.16521739,73.65347826,26.255
HOSPITAL DEL NORTE,2023-07-22,2023,7,22,694.8452083,1.71216667,17.175,216.79925,0,8.6375,20.10416667,,1.92916667,77.49579167,25.400125
HOSPITAL DEL NORTE,2023-07-21,2023,7,21,694.1207083,1.8265,20.95,217.3748333,0.03333333,12.08333333,27.09583333,,4.33333333,74.33470833,26.34
HOSPITAL DEL NORTE,2023-07-20,2023,7,20,694.4818333,1.74745833,24.59166667,224.821625,0,12.41666667,25.22083333,,0.72916667,72.84083333,26.89766667
HOSPITAL DEL NORTE,2023-07-19,2023,7,19,695.6177083,1.44820833,20.3875,266.6629167,0,12.72916667,30.2125,,2.375,76.21458333,25.74525
HOSPITAL DEL NORTE,2023-07-18,2023,7,18,695.7894167,1.77833333,14.85833333,199.9079167,0.00833333,10.95416667,22.40416667,,3.35833333,80.15283333,25.23195833
HOSPITAL DEL NORTE,2023-07-17,2023,7,17,694.7737083,1.90666667,14.48333333,232.6736667,0.00833333,12.1625,26.42916667,,3.44166667,79.965,25.20091667
HOSPITAL DEL NORTE,2023-07-16,2023,7,16,694.2518261,1.72321739,15.27826087,230.6778261,0,12.79565217,24.93478261,,2.00869565,81.65726087,24.99465217
HOSPITAL DEL NORTE,2023-07-15,2023,7,15,694.1314167,1.95858333,20.58333333,231.3321667,0.00833333,9.3625,20.62083333,,1.45,77.9025,25.303875
HOSPITAL DEL NORTE,2023-07-14,2023,7,14,693.8417826,1.12769565,13.14347826,201.9355217,0.17391304,12.38695652,26.46521739,,3.30869565,82.83995652,24.26121739
HOSPITAL DEL NORTE,2023-07-13,2023,7,13,693.1486667,2.14533333,25.77916667,234.7804167,0.00833333,10.00833333,22.72083333,,5.42,72.11583333,26.18191667
HOSPITAL DEL NORTE,2023-07-12,2023,7,12,694.3135833,1.810875,17.44583333,178.6582917,0.00833333,11.96666667,27.80416667,,3.23333333,79.90220833,24.35075
HOSPITAL DEL NORTE,2023-07-11,2023,7,11,694.9125417,1.64479167,14.325,240.6399583,0.42495833,10.4125,26.42916667,,4.39583333,81.57454167,24.12683333
HOSPITAL DEL NORTE,2023-07-10,2023,7,10,694.4934167,1.76116667,20.81666667,206.3887917,0,8.95,20.64166667,,2.60833333,76.51816667,25.25083333
HOSPITAL DEL NORTE,2023-07-09,2023,7,9,695.1777826,1.74078261,19.25652174,234.7415652,0,6.85217391,14.6826087,,1.93478261,78.87378261,25.17986957
HOSPITAL DEL NORTE,2023-07-08,2023,7,8,695.432,1.41079167,10.47083333,197.2799583,0.10833333,6.3625,15.45,,1.37916667,81.993375,24.04916667
HOSPITAL DEL NORTE,2023-07-07,2023,7,7,694.9536957,2.33543478,13.00869565,185.3526957,0.10434783,6.68695652,15.39565217,,3.26086957,83.5053913,24.63134783
HOSPITAL DEL NORTE,2023-07-06,2023,7,6,694.792375,1.66945833,16.44166667,268.0618333,0.00833333,9.9625,20.20833333,,3.20833333,82.17504167,24.993
HOSPITAL DEL NORTE,2023-07-05,2023,7,5,695.5435833,1.90825,15.4375,184.9355,0,9.8875,19.40833333,,2.75416667,80.50045833,24.88895833
HOSPITAL DEL NORTE,2023-07-04,2023,7,4,695.875125,2.154,11.54166667,204.8122083,0,7.02916667,15.775,,3.06666667,83.038,24.61029167
HOSPITAL DEL NORTE,2023-07-03,2023,7,3,695.6345,1.66841667,14.55833333,211.39525,0,7.0125,16.12083333,,1.07083333,82.32983333,24.26904167
HOSPITAL DEL NORTE,2023-07-02,2023,7,2,695.0275,1.45936364,13.12272727,157.8482273,0.23636364,6.25454545,15.22272727,,2.12727273,84.669,23.77190909
HOSPITAL DEL NORTE,2023-07-01,2023,7,1,694.3851667,1.40095833,16.22083333,210.6512917,0.34166667,8.80833333,19.5875,,3.65,83.54291667,25.441875
HOSPITAL DEL NORTE,2023-06-30,2023,6,30,694.30275,1.8095,17.47916667,206.23025,0.05833333,7.3125,17.8625,,1.94583333,79.233,25.95795833
HOSPITAL DEL NORTE,2023-06-29,2023,6,29,694.1405926,1.97148148,17.34074074,218.5948519,0.31851852,8.62592593,19.40740741,,3.88333333,79.21025926,25.49281481
HOSPITAL DEL NORTE,2023-06-28,2023,6,28,694.62775,1.98425,16.05833333,204.2149167,0,6.65416667,15.52916667,,3.29583333,78.152375,24.96708333
HOSPITAL DEL NORTE,2023-06-27,2023,6,27,695.09875,1.95570833,16.1,221.8691667,0,8.93333333,21.21666667,,2.20416667,83.718125,24.642375
HOSPITAL DEL NORTE,2023-06-26,2023,6,26,695.866125,1.26058333,14.65,209.5012917,0.05,8.8875,19.82916667,,2.96666667,87.00008333,23.61754167
HOSPITAL DEL NORTE,2023-06-25,2023,6,25,695.0737826,1.71278261,13.84347826,210.5667391,0.70434783,7.72173913,17.6826087,,0.76956522,83.77508696,23.78330435
HOSPITAL DEL NORTE,2023-06-24,2023,6,24,695.005125,2.02966667,17.19583333,204.4732083,1.15829167,6.37916667,13.29583333,,2.65,87.54229167,23.60883333
HOSPITAL DEL NORTE,2023-06-23,2023,6,23,694.9369583,1.93879167,13.50833333,214.4044167,0,11.52916667,24.81666667,,2.98333333,84.82191667,24.21191667
HOSPITAL DEL NORTE,2023-06-22,2023,6,22,694.4312083,1.89966667,14.25,190.0938333,0.87495833,11.0625,24.8,,3.625,84.018375,24.12895833
HOSPITAL DEL NORTE,2023-06-21,2023,6,21,693.4224583,1.55358333,17.87083333,196.9427917,0,12.84583333,29.22083333,,4.74583333,74.04295833,25.82475
HOSPITAL DEL NORTE,2023-06-20,2023,6,20,693.6497917,1.68045833,19.2625,178.1032917,0,9.01666667,20.15,,3.32083333,73.14175,26.38591667
HOSPITAL DEL NORTE,2023-06-19,2023,6,19,694.3971667,1.66575,21.725,253.5143333,0,8.55416667,18.57083333,,3.82916667,76.90541667,25.93779167
HOSPITAL DEL NORTE,2023-06-18,2023,6,18,695.0929565,1.54986957,13.66086957,246.0997826,0,11.79565217,23.83478261,,3.08695652,83.14478261,24.29921739
HOSPITAL DEL NORTE,2023-06-17,2023,6,17,695.3152083,1.68458333,12.04166667,174.8735,0.15833333,9.27916667,22.975,,3.925,85.06675,23.26245833
HOSPITAL DEL NORTE,2023-06-16,2023,6,16,694.7499583,1.86325,15.71666667,237.4344583,0.00833333,11.75416667,26.125,,2.725,79.55941667,24.81695833
HOSPITAL DEL NORTE,2023-06-15,2023,6,15,694.2311667,1.68508333,18.28333333,166.7157917,0.03333333,8.04583333,19.92083333,,5,80.9645,24.81391667
HOSPITAL DEL NORTE,2023-06-14,2023,6,14,694.2011667,1.7635,21.94166667,215.5967917,0.05829167,11.02916667,23.53333333,,3.25833333,75.98283333,25.42658333
HOSPITAL DEL NORTE,2023-06-13,2023,6,13,693.9620833,1.85966667,21.60833333,223.2885833,0,9.22083333,18.775,,2.12083333,72.49204167,25.75733333
HOSPITAL DEL NORTE,2023-06-12,2023,6,12,694.7362917,1.7,16.675,200.7345417,0,8.1125,17.7,,1.7375,75.97670833,24.78941667
HOSPITAL DEL NORTE,2023-06-11,2023,6,11,695.7571304,1.84913043,16.22173913,159.2906087,0.00869565,10.23043478,21.37391304,,2.89130435,83.268,24.646
HOSPITAL DEL NORTE,2023-06-10,2023,6,10,696.009,1.80670833,11.4125,212.6425833,0.01666667,6.49583333,18.17916667,,1.87916667,85.19325,23.523125
HOSPITAL DEL NORTE,2023-06-09,2023,6,9,696.28275,1.53541667,12.8625,208.425875,0.08333333,12.57916667,25.2875,,4.04166667,87.52266667,23.83079167
HOSPITAL DEL NORTE,2023-06-08,2023,6,8,696.2227917,1.80116667,11.29166667,213.8169583,0.725,8.14583333,19.46666667,,3.15,85.763,23.61825
HOSPITAL DEL NORTE,2023-06-07,2023,6,7,695.25575,1.78633333,16.4125,190.1217083,0.00833333,8.79583333,23.025,,1.9,81.716125,24.55979167
HOSPITAL DEL NORTE,2023-06-06,2023,6,6,695.5008333,1.49670833,12.01666667,177.643,0.01666667,8.625,26.19166667,,2.01666667,81.456875,24.209625
HOSPITAL DEL NORTE,2023-06-05,2023,6,5,695.903625,1.54958333,11.30416667,150.7694167,0.19166667,8.3375,21.17916667,,1.89583333,87.245,23.45316667
HOSPITAL DEL NORTE,2023-06-04,2023,6,4,695.0123913,1.72869565,14.84347826,196.415087,0.45217391,7.9,17.17391304,,3.3,84.96730435,24.07817391
HOSPITAL DEL NORTE,2023-06-03,2023,6,3,693.8809167,1.76645833,19.3625,221.3275417,0,10.8875,24.53333333,,,77.77295833,25.49095833
HOSPITAL DEL NORTE,2023-06-02,2023,6,2,694.9878333,1.3975,12.47083333,212.3859583,0.00833333,9.64166667,24.80833333,,,84.133875,24.06120833
HOSPITAL DEL NORTE,2023-06-01,2023,6,1,695.9204583,1.65479167,10.07916667,189.7425417,0.03333333,5.48333333,15.73333333,,2.44444444,87.03091667,22.958375
HOSPITAL DEL NORTE,2023-05-31,2023,5,31,695.130375,2.13816667,17.89583333,247.738125,0.01666667,5.5625,14.4125,,1.70833333,80.07191667,24.92
HOSPITAL DEL NORTE,2023-05-30,2023,5,30,695.3444583,2.04458333,15.34583333,225.4419167,0.05833333,5.12916667,13.90416667,,2.30833333,81.40520833,24.39158333
HOSPITAL DEL NORTE,2023-05-29,2023,5,29,694.9893333,1.893625,16.17083333,179.2927083,0,6.9625,17.68333333,,2.08333333,82.034,24.66329167
HOSPITAL DEL NORTE,2023-05-28,2023,5,28,695.605,1.3653913,10.66956522,146.3023913,0.09565217,6.96521739,17.66956522,,1.89130435,86.42443478,23.20326087
HOSPITAL DEL NORTE,2023-05-27,2023,5,27,695.8302917,2.11195833,19.46666667,176.2385833,0.48333333,5.6,13.55833333,,1.81666667,80.93025,24.17779167
HOSPITAL DEL NORTE,2023-05-26,2023,5,26,695.333125,1.98366667,20,194.408875,0.00833333,6.04583333,15.6375,,3.09166667,81.38008333,24.57170833
HOSPITAL DEL NORTE,2023-05-25,2023,5,25,693.9511667,1.85883333,15.4375,186.572375,0.00833333,7.70416667,19.89583333,,2.72083333,83.9,24.146125
HOSPITAL DEL NORTE,2023-05-24,2023,5,24,694.046625,1.68054167,16.00833333,182.5218333,0.00833333,7.89166667,19.27916667,,2.47916667,84.11595833,24.39875
HOSPITAL DEL NORTE,2023-05-23,2023,5,23,695.183125,1.813,15.19583333,158.5225417,0,8.89166667,21.62916667,,2.96666667,85.81045833,24.09795833
HOSPITAL DEL NORTE,2023-05-22,2023,5,22,694.9761667,1.653875,17.51666667,205.499,0.87491667,4.925,11.92083333,,2.07916667,90.05716667,23.055875
HOSPITAL DEL NORTE,2023-05-21,2023,5,21,694.4556087,1.71043478,19.07826087,221.9808261,0,8.00869565,15.03043478,,1.77826087,87.06456522,24.26130435
HOSPITAL DEL NORTE,2023-05-20,2023,5,20,694.0769167,1.81191667,17.29583333,189.014625,0,10.84583333,20.75416667,,3.3875,84.022,25.30775
HOSPITAL DEL NORTE,2023-05-19,2023,5,19,694.0458333,1.848875,24.65833333,179.5156667,0,8.15833333,18.7625,,2.55416667,76.98054167,26.09866667
HOSPITAL DEL NORTE,2023-05-18,2023,5,18,694.351,2.132375,25.95833333,172.2007917,0,6.86666667,17.15416667,,5.215,74.00091667,26.37404167
HOSPITAL DEL NORTE,2023-05-17,2023,5,17,695.5342083,1.905625,18.77916667,219.9035833,0.00833333,7.13333333,16.33333333,,4.25416667,83.37545833,25.102125
HOSPITAL DEL NORTE,2023-05-16,2023,5,16,696.320125,1.88333333,14.51666667,186.257375,0,7.8625,19.46666667,,1.7625,84.468625,24.17754167
HOSPITAL DEL NORTE,2023-05-15,2023,5,15,696.6820417,1.74866667,14.2875,207.2455833,0.05,6.92083333,17.39583333,,1.5875,85.02575,24.29754167
